ID,geoID,Hub,Sex,Age,Nationality,InterviewLanguage,Education,contractStartDate,contractEndDate,training,operationalLocationCountry,RegionCity,Reports,AvgReports,Latitude,Longitude
25,Asia-AF01,Asia,Male,31,Afghan,Persian ,BA and above,16-Oct,19-Dec,Full in-person training,Afghanistan,Kabul,149,15,34.540487,69.175108
26,Asia-AF02,Asia,Male,35,Afghan,Persian ,BA and above,16-Oct,19-Dec,Full in-person training,Afghanistan,Kabul,171,15,34.540487,69.175108
27,Asia-AF03,Asia,Female,35,Afghan,Persian ,BA and above,16-Oct,19-Dec,Full in-person training,Afghanistan,Kabul,154,15,34.540487,69.175108
28,Asia-AF04,Asia,Male,24,Afghan,Persian ,BA and above,16-Oct,19-Dec,Full in-person training,Afghanistan,Balkh,184,15,36.763035,66.899638
29,Asia-AF05,Asia,Female,22,Afghan,Persian ,BA and above,16-Oct,19-Dec,Full in-person training,Afghanistan,Balkh,184,15,36.763035,66.899638
30,Asia-AF06,Asia,Male,23,Afghan,Persian ,BA and above,16-Oct,19-Dec,Full in-person training,Afghanistan,Herat,174,15,34.3553,62.208409
31,Asia-AF07,Asia,Male,27,Afghan,Persian ,Up to High School,16-Oct,19-Dec,Full in-person training,Afghanistan,Herat,152,15,34.3553,62.208409
32,Asia-AF08,Asia,Female,18,Afghan,Persian ,Up to High School,16-Oct,19-Dec,Full in-person training,Afghanistan,Herat,155,15,34.3553,62.208409
33,Asia-AF09,Asia,Female,29,Afghan,Persian ,Up to High School,16-Oct,19-Dec,Full in-person training,Afghanistan,Nangarhar,173,15,34.246684,70.506646
34,Asia-AF10,Asia,Male,28,Afghan,Persian ,Up to High School,16-Oct,19-Dec,Full in-person training,Afghanistan,Nangarhar,176,15,34.246684,70.506646
35,Asia-AF11,Asia,Male,26,Afghan,Persian ,BA and above,16-Oct,19-Dec,Full in-person training,Afghanistan,Nangarhar,174,15,34.246684,70.506646
36,Asia-AF12,Asia,Male,28,Afghan,Persian ,BA and above,16-Oct,19-Dec,Full in-person training,Afghanistan,Kandahar,163,15,31.636378,65.759785
37,Asia-AF13,Asia,Female,24,Afghan,Persian ,Up to High School,18-Oct,19-Dec,Full in-person training,Afghanistan,Kandahar,155,15,31.636378,65.759785
38,Asia-AF14,Asia,Male,26,Afghan,Persian ,Up to High School,16-Oct,19-Dec,Full in-person training,Afghanistan,Kandahar,163,15,31.636378,65.759785
39,Asia-AF15,Asia,Male,28,Afghan,Persian ,Up to High School,16-Oct,19-Dec,Full in-person training,Afghanistan,Kunduz,177,15,36.715454,68.878226
40,Asia-AF16,Asia,Male,30,Afghan,Persian ,Up to High School,16-Oct,19-Dec,Full in-person training,Afghanistan,Kunduz,176,15,36.715454,68.878226
41,Asia-AF17,Asia,Male,40,Afghan,Persian ,Up to High School,16-Oct,19-Dec,Full in-person training,Afghanistan,Nimruz,175,15,30.970419,61.844529
42,Asia-AF18,Asia,Female,33,Afghan,Persian ,Up to High School,16-Oct,19-Dec,Full in-person training,Afghanistan,Nimruz,176,15,30.970419,61.844529
43,Asia-AF19,Asia,Male,28,Afghan,Persian ,BA and above,18-Mar,19-Dec,Full in-person training,Afghanistan,Nimruz,140,15,30.970419,61.844529
44,Asia-India01,Asia,Male,43,Afghan,Persian ,BA and above,18-Apr,19-Dec,Full in-person training,India,New Delhi,75,7,28.58497,77.246265
45,Asia-India02,Asia,Female,23,Afghan,Persian ,BA and above,18-Apr,19-Dec,Full in-person training,India,New Delhi,75,7,28.58497,77.246265
46,Asia-India03,Asia,Male,25,Afghan,Persian ,BA and above,18-Apr,19-Dec,Full in-person training,India,New Delhi,75,7,28.58497,77.246265
47,Asia-India04,Asia,Male,30,Afghan,Persian ,BA and above,18-Apr,19-Dec,Full in-person training,India,New Delhi,75,7,28.567482,77.242433
48,Asia-India05,Asia,Female,26,Afghan,Persian ,BA and above,18-Apr,19-Dec,Full in-person training,India,New Delhi,75,7,28.567482,77.242433
49,Asia-Indo01,Asia,Male,26,Afghan,Persian ,Up to High School,18-Apr,19-Dec,Full in-person training,Indonesia,Jakarta,90,10,-6.189429,106.843243
50,Asia-Indo02,Asia,Male,31,Afghan,Persian ,BA and above,18-Apr,19-Dec,Full in-person training,Indonesia,Bogor,115,12,-6.514287,106.797429
51,Asia-Indo03,Asia,Male,36,Afghan,Persian ,BA and above,18-Apr,19-Dec,Full in-person training,Indonesia,Bogor,128,13,-6.514287,106.797429
52,Asia-Indo04,Asia,Female,25,Afghan,Persian ,Up to High School,18-Apr,19-Dec,Full in-person training,Indonesia,Jakarta,90,10,-6.189429,106.843243
